iter	Logloss
0	0.6913696421
1	0.6897224736
2	0.6881008566
3	0.6866648753
4	0.6854375919
5	0.6838464271
6	0.6826972264
7	0.6809279312
8	0.6793456477
9	0.6778119764
10	0.676170721
11	0.6746288714
12	0.6732140646
13	0.6719127282
14	0.6704432978
15	0.6690070079
16	0.6675075401
17	0.6661723849
18	0.6648121676
19	0.6633816141
20	0.661864237
21	0.6605126404
22	0.6590004394
23	0.6576326371
24	0.6560179439
25	0.654802573
26	0.6535016793
27	0.6518895914
28	0.6501905532
29	0.6488000696
30	0.6474935389
31	0.646158276
32	0.6449167894
33	0.6431638981
34	0.6420168819
35	0.6399636661
36	0.6386047798
37	0.6371606819
38	0.63573485
39	0.6342999041
40	0.6324106137
41	0.631205764
42	0.6296861348
43	0.6279114898
44	0.6266076165
45	0.6252378916
46	0.6237358254
47	0.6225519025
48	0.620992882
49	0.6191790395
50	0.6179419024
51	0.6162865954
52	0.6150430495
53	0.6138975884
54	0.6117911237
55	0.6097186919
56	0.6078642173
57	0.6061322872
58	0.6049713377
59	0.6032143716
60	0.6018906798
61	0.6007726091
62	0.5993509367
63	0.5980887901
64	0.5965948403
65	0.5957550603
66	0.5943415646
67	0.5928248987
68	0.5913239264
69	0.5898084769
70	0.5886613171
71	0.5874929062
72	0.5865851072
73	0.5856112039
74	0.5845422772
75	0.5834404772
76	0.5820981467
77	0.5806992555
78	0.5795663392
79	0.5783376816
80	0.577212419
81	0.57609615
82	0.5744202625
83	0.5731054165
84	0.5720502341
85	0.5704809481
86	0.569135506
87	0.5681028732
88	0.5668716525
89	0.5660225221
90	0.564752954
91	0.5636221062
92	0.5625273518
93	0.5611990866
94	0.5596796071
95	0.5583291365
96	0.5570268631
97	0.5555270152
98	0.5545981743
99	0.5532705445
100	0.5517738353
101	0.5506855778
102	0.5495410182
103	0.5481733273
104	0.5473695221
105	0.5462704152
106	0.545100968
107	0.5439932793
108	0.5427883742
109	0.5416227295
110	0.5405586646
111	0.5395083007
112	0.5385903784
113	0.537442951
114	0.5361273912
115	0.5350315909
116	0.5338354693
117	0.5325663442
118	0.5314119661
119	0.5304317529
120	0.5289006233
121	0.5278758948
122	0.5267856704
123	0.5256448212
124	0.5243612921
125	0.5236023461
126	0.5226416032
127	0.5216280195
128	0.520160014
129	0.5190180025
130	0.5177219009
131	0.5164705718
132	0.5155666918
133	0.5144114372
134	0.5134303461
135	0.5122222453
136	0.5114057999
137	0.5103515644
138	0.5094053474
139	0.5080315362
140	0.5071573704
141	0.5062686787
142	0.505227307
143	0.5039843809
144	0.5025412061
145	0.5015558031
146	0.5005639737
147	0.499654816
148	0.4983962043
149	0.4974997965
150	0.4966670519
151	0.4955138591
152	0.4946135093
153	0.4934800728
154	0.4925717793
155	0.4913562374
156	0.4901711805
157	0.4890383753
158	0.4881721356
159	0.4865852676
160	0.4856338284
161	0.4845992273
162	0.4837139005
163	0.4821855941
164	0.4812881459
165	0.4801985594
166	0.4791572257
167	0.4781889915
168	0.4773817198
169	0.4765049219
170	0.4754322605
171	0.4742651419
172	0.4733625894
173	0.4721297838
174	0.4711053995
175	0.4703155323
176	0.4692867588
177	0.468336929
178	0.4669882032
179	0.466035534
180	0.4649857824
181	0.4639946873
182	0.4629883847
183	0.4617145685
184	0.4607925252
185	0.4599866786
186	0.4589998316
187	0.4580917115
188	0.4571280425
189	0.4564469999
190	0.4556856318
191	0.4543735087
192	0.4531756369
193	0.4519995939
194	0.4512333951
195	0.4504992555
196	0.4491940141
197	0.4482212256
198	0.4474525695
199	0.4467787092
200	0.4458554983
201	0.4450402043
202	0.4442595569
